Date,Rate,Previous,Lag1Order2,USD_TRYCount,USD_TRYLike,USD_TRYRt,DolarCount,DolarLike,DolarRt,merkezBankasiCount,merkezBankasiLike,merkezBankasiRt,TurkLirasiCount,TurkLirasiLike,TurkLirasiRt,Direction
2014-01-01 18:00,-0.0010699999999999044,2.14793,0.000540000000000429,1,0,0,92,20,20,3,0,1,1,0,0,0
2014-01-01 19:01,-6.000000000039307e-05,2.146860000,-0.0004499999999998394,1,0,0,87,13,13,0,0,0,7,0,0,0
2014-01-01 20:00,0.00048000000000003595,2.146800000,-0.0003700000000002035,0,0,0,50,16,16,3,1,0,3,0,0,1
2014-01-01 21:00,3.0000000000196536e-05,2.147280000,0.00034000000000000696,0,0,0,61,78,78,2,0,0,1,0,0,1
2014-01-01 22:01,-0.00034000000000000696,2.147310000,-0.00041000000000002146,0,0,0,27,3,3,1,2,0,1,0,0,0
2014-01-01 23:00,0.0,2.146970000,-0.00016000000000016001,1,0,0,23,9,9,1,0,0,0,0,0,0
2014-01-02 00:00,-0.00041000000000002146,2.146970000,0.0049200000000002575,1,0,0,8,4,4,0,0,0,0,0,0,0
2014-01-02 01:00,-0.0005700000000001815,2.146560000,0.010930000000000106,0,0,0,5,0,0,0,0,0,0,0,0,0
2014-01-02 02:00,0.004350000000000076,2.145990000,-0.022380000000000067,0,0,0,8,2,2,1,0,1,0,0,0,1
2014-01-02 03:00,0.015280000000000182,2.150340000,0.014189999999999703,0,0,0,11,2,2,0,0,0,0,0,0,1
2014-01-02 04:00,-0.007099999999999884,2.165620000,0.00649999999999995,5,0,0,27,46,46,4,0,2,0,0,0,0
2014-01-02 05:00,0.007089999999999819,2.158520000,-0.017189999999999372,9,0,0,138,48,48,3,0,0,1,0,0,1
2014-01-02 06:00,0.013589999999999769,2.165610000,0.011899999999999356,5,2,1,115,40,40,7,2,3,1,0,0,1
2014-01-02 07:00,-0.0035999999999996035,2.179200000,-0.011199999999999655,1,0,0,142,55,55,8,3,14,1,1,1,0
2014-01-02 08:00,0.008299999999999752,2.175600000,0.00019999999999997797,25,3,15,295,193,193,6,0,1,2,2,0,1
2014-01-02 09:00,-0.0028999999999999027,2.183900000,-0.003150000000000208,14,1,2,226,48,48,6,0,3,5,0,1,0
2014-01-02 10:00,-0.0026999999999999247,2.181000000,0.0044400000000002215,8,1,2,144,40,40,2,0,2,5,1,8,0
2014-01-02 11:00,-0.005850000000000133,2.178300000,0.0012699999999998823,9,2,3,196,54,54,4,0,1,2,0,0,0
2014-01-02 12:00,-0.0014099999999999113,2.172450000,0.0013899999999997803,6,0,2,184,73,73,11,1,9,0,0,0,0
2014-01-02 13:00,-0.000140000000000029,2.171040000,0.00017000000000022553,2,1,4,128,33,33,10,5,30,1,0,0,0
2014-01-02 14:00,0.0012499999999997513,2.170900000,0.0007700000000001594,2,0,0,84,122,122,6,0,0,0,0,0,1
2014-01-02 15:00,0.0014199999999999768,2.172150000,-0.006180000000000074,1,1,1,107,78,78,3,0,1,0,0,0,1
2014-01-02 16:00,0.0021900000000001363,2.173570000,0.004669999999999952,2,0,0,154,20,20,2,0,0,1,0,0,1
2014-01-02 17:00,-0.003989999999999938,2.175760000,-0.002060000000000173,2,0,0,126,18,18,3,2,7,0,0,0,0
2014-01-02 18:00,0.0006800000000000139,2.171770000,0.001420000000000421,0,0,0,135,366,366,5,0,0,0,0,0,1
2014-01-02 19:00,-0.0013800000000001589,2.172450000,0.00022999999999973042,1,0,0,97,32,32,6,1,1,0,0,0,0
2014-01-02 20:00,4.000000000026205e-05,2.171070000,-0.000280000000000058,2,0,7,65,18,18,7,2,1,0,0,0,1
2014-01-02 21:00,0.00026999999999999247,2.171110000,-0.0003500000000000725,2,0,0,56,23,23,2,0,0,1,0,0,1
2014-01-02 22:00,-1.0000000000065512e-05,2.171380000,0.003750000000000142,0,0,0,33,24,24,4,1,0,0,0,0,0
2014-01-02 23:00,-0.000360000000000138,2.171370000,-0.005640000000000089,1,0,0,18,0,0,0,0,0,0,0,0,0
2014-01-03 00:00,0.003390000000000004,2.171010000,0.007370000000000321,1,0,0,26,2,2,1,0,0,0,0,0,1
2014-01-03 01:00,-0.0022500000000000853,2.174400000,-0.014020000000000366,0,0,0,106,1,1,1,0,0,0,0,0,0
2014-01-03 02:00,0.0051200000000002355,2.172150000,0.00743000000000027,2,0,0,16,1,1,2,0,0,0,0,0,1
2014-01-03 03:00,-0.00890000000000013,2.177270000,0.0023199999999996557,0,0,0,23,0,0,1,0,0,0,0,0,0
2014-01-03 04:00,-0.0014699999999998603,2.168370000,0.00759000000000043,4,1,0,34,15,15,5,7,34,0,0,0,0
2014-01-03 05:00,0.0008499999999997954,2.166900000,-0.01053000000000015,9,0,3,121,20,20,4,1,1,0,0,0,1
2014-01-03 06:00,0.008440000000000225,2.167750000,0.0006999999999997009,5,3,1,103,47,47,12,3,18,1,0,0,1
2014-01-03 07:00,-0.0020899999999999253,2.176190000,0.0015800000000001369,3,0,2,122,11,11,5,0,9,6,0,1,0
2014-01-03 08:00,-0.0013900000000002244,2.174100000,0.004260000000000375,8,4,1,74,14,14,8,8,28,9,10,33,0
2014-01-03 09:00,0.00018999999999991246,2.172710000,-0.0035500000000006082,3,0,0,70,6,6,11,1,0,2,0,0,1
2014-01-03 10:00,0.004450000000000287,2.172900000,0.00011000000000072063,5,1,1,82,23,23,16,0,5,0,0,0,1
2014-01-03 11:00,0.0008999999999996788,2.177350000,-0.002660000000000551,4,0,0,77,14,14,18,6,14,5,0,1,1
2014-01-03 12:00,0.0010100000000003995,2.178250000,0.0029400000000001647,4,6,1,112,175,175,8,1,8,6,0,0,1
2014-01-03 13:00,-0.0016500000000001513,2.179260000,-0.0025500000000002743,2,0,0,100,53,53,10,0,2,3,0,0,0
2014-01-03 14:00,0.0012900000000000134,2.177610000,0.0017700000000004934,1,0,0,96,92,92,3,0,0,1,0,0,1
2014-01-03 15:04,-0.001260000000000261,2.178900000,-0.004010000000000069,0,0,0,115,32,32,6,0,0,1,0,0,0
2014-01-03 16:00,0.0005100000000002325,2.177640000,0.004869999999999486,1,2,1,84,83,83,8,2,3,0,0,0,1
2014-01-05 17:01,-0.0034999999999998366,2.178150000,-0.0011199999999993437,1,1,0,83,182,182,19,1,8,3,3,6,0
2014-01-05 18:00,0.0013699999999996493,2.174650000,-0.00018000000000029104,1,2,1,78,33,33,19,3,9,0,0,0,1
2014-01-05 19:00,0.00025000000000030553,2.176020000,0.0002899999999996794,0,0,0,92,51,51,13,8,40,1,0,0,1
2014-01-05 20:00,7.00000000000145e-05,2.176270000,-0.0011699999999996713,0,0,0,62,6,6,10,0,1,0,0,0,1
2014-01-05 21:00,0.0003599999999996939,2.176340000,0.0005700000000001815,0,0,0,26,8,8,3,0,4,1,0,0,1
2014-01-05 22:00,-0.0008099999999999774,2.176700000,0.0028199999999998226,0,0,0,35,1,1,2,0,0,0,0,0,0
2014-01-05 23:03,-0.00023999999999979593,2.175890000,-0.0032600000000000406,2,0,1,40,1,1,1,0,0,0,0,0,0
2014-01-06 00:01,0.0025800000000000267,2.175650000,0.0002999999999997449,0,0,0,32,1,1,0,0,0,0,0,0,1
2014-01-06 01:00,-0.0006800000000000139,2.178230000,0.012880000000000447,0,0,0,8,3,3,0,0,0,0,0,0,0
2014-01-06 02:00,-0.000380000000000269,2.177550000,-0.011270000000000113,0,0,0,10,0,0,0,0,0,0,0,0,0
2014-01-06 03:00,0.012500000000000178,2.177170000,0.0005099999999997884,0,0,0,11,2,2,1,0,0,0,0,0,1
2014-01-06 04:00,0.0012300000000000644,2.189670000,-0.007979999999999876,4,1,0,50,0,0,6,1,2,0,0,0,1
2014-01-06 05:00,0.0017399999999998528,2.190900000,0.005700000000000038,13,0,2,105,16,16,13,1,8,1,0,0,1
2014-01-06 06:00,-0.006240000000000023,2.192640000,0.007540000000000102,12,3,7,167,76,76,22,20,27,1,0,0,0
2014-01-06 07:00,-0.0005399999999999849,2.186400000,-0.01293000000000033,7,0,3,233,50,50,27,1,2,1,0,0,0
2014-01-06 08:00,0.007000000000000117,2.185860000,0.0024000000000001798,8,1,7,102,23,23,12,0,6,1,0,0,1
2014-01-06 09:00,-0.005930000000000213,2.192860000,-0.0010199999999995768,5,0,0,105,34,34,21,13,82,1,0,1,0
2014-01-06 10:00,-0.003530000000000033,2.186930000,0.0034799999999992615,5,0,1,156,11,11,28,3,19,3,0,0,0
2014-01-06 11:00,-0.00454999999999961,2.183400000,-0.0015399999999994307,8,3,4,75,39,39,6,0,0,1,0,2,0
2014-01-06 12:00,-0.0010700000000003485,2.178850000,0.002889999999999837,3,0,0,107,468,468,12,1,1,0,0,0,0
2014-01-06 13:00,-0.002609999999999779,2.177780000,-0.000500000000000167,6,0,2,95,13,13,6,3,4,1,0,0,0
2014-01-06 14:00,0.000280000000000058,2.175170000,-0.002409999999999801,0,0,0,73,29,29,11,1,0,2,0,0,1
2014-01-06 15:03,-0.000220000000000109,2.175450000,0.0011099999999997223,0,0,0,121,356,356,8,1,0,1,0,2,0
2014-01-06 16:00,-0.00262999999999991,2.175230000,0.0001500000000000945,2,0,3,143,88,88,4,0,1,1,0,0,0
2014-01-06 17:01,-0.0015200000000001879,2.172600000,0.0012900000000004574,1,0,0,207,158,158,1,0,0,2,1,0,0
2014-01-06 18:00,-0.0013700000000000934,2.171080000,0.003489999999999327,2,0,1,148,289,289,11,2,11,2,3,18,0
2014-01-06 19:04,-7.999999999963592e-05,2.169710000,-0.003129999999999633,5,0,5,150,59,59,5,1,1,1,0,0,0
2014-01-06 20:01,0.003409999999999691,2.169630000,-0.0007700000000001594,2,0,0,127,102,102,2,0,0,1,0,0,1
2014-01-06 21:01,0.000280000000000058,2.173040000,0.0007100000000002105,0,0,0,59,42,42,7,8,12,1,0,0,1
2014-01-06 22:07,-0.0004900000000001015,2.173320000,-0.0017700000000000493,1,0,0,31,2,2,2,1,0,1,0,1,0
2014-01-06 23:02,0.000220000000000109,2.172830000,0.003750000000000142,7,0,0,16,4,4,1,0,0,1,1,0,1
2014-01-07 00:00,-0.0015499999999999403,2.173050000,-0.0020700000000002383,2,0,0,8,0,0,2,0,0,0,0,0,0
2014-01-07 01:00,0.002200000000000202,2.171500000,0.0044599999999999085,0,0,0,8,0,0,0,0,0,1,0,0,1
2014-01-07 02:00,0.00012999999999996348,2.173700000,-0.003610000000000113,0,0,0,10,1,1,1,0,0,0,0,0,1
2014-01-07 03:00,0.004589999999999872,2.173830000,-0.0011699999999996713,0,0,0,35,18,18,3,0,1,1,0,0,1
2014-01-07 04:00,0.0009799999999997588,2.178420000,-0.0007399999999999629,5,5,2,76,33,33,9,6,9,0,0,0,1
2014-01-07 05:00,-0.00018999999999991246,2.179400000,-0.006550000000000278,11,1,2,102,16,16,7,0,0,3,2,5,0
2014-01-07 06:00,-0.0009299999999998754,2.179210000,0.0039000000000002366,4,0,0,152,25,25,17,50,57,0,0,0,0
2014-01-07 07:00,-0.007480000000000153,2.178280000,0.0012599999999998168,3,0,0,128,11,11,10,6,2,1,0,0,0
2014-01-07 08:00,-0.0035799999999999166,2.170800000,-0.00254999999999983,1,0,0,114,29,29,8,1,0,2,0,0,0
2014-01-07 09:00,-0.0023200000000000998,2.167220000,0.0046800000000000175,7,0,2,65,8,8,12,2,0,2,0,0,0
2014-01-07 10:00,-0.00486999999999993,2.164900000,0.007299999999999862,8,0,2,96,18,18,8,2,1,1,0,0,0
2014-01-07 11:00,-0.00018999999999991246,2.160030000,-0.007209999999999717,7,2,0,86,10,10,20,0,0,0,0,0,0
2014-01-07 12:00,0.00710999999999995,2.159840000,-0.00056000000000056,10,0,5,101,17,17,9,1,5,2,3,2,1
2014-01-07 13:00,-9.999999999976694e-05,2.166950000,0.00148000000000037,5,1,2,109,16,16,4,0,0,0,0,0,0
2014-01-07 14:00,-0.000660000000000327,2.166850000,-0.0007399999999999629,2,0,0,120,109,109,7,0,1,1,0,0,0
2014-01-07 15:00,0.0008200000000000429,2.166190000,-0.000300000000000189,0,0,0,94,22,22,7,3,5,0,0,0,1
2014-01-07 16:01,8.000000000008001e-05,2.167010000,0.0006500000000002615,1,0,0,112,205,205,5,0,0,0,0,0,1
2014-01-07 17:00,-0.000220000000000109,2.167090000,-0.0005700000000001815,3,0,0,81,32,32,3,0,3,1,0,0,0
2014-01-07 18:00,0.0004300000000001525,2.166870000,-0.0003699999999997594,0,0,0,133,677,677,7,0,0,2,1,0,1
2014-01-07 19:04,-0.000140000000000029,2.167300000,0.0009099999999997443,0,0,0,109,53,53,8,3,5,0,0,0,0
2014-01-07 20:00,-0.0005099999999997884,2.167160000,-0.00038999999999989043,0,0,0,93,9,9,8,19,5,0,0,0,0
2014-01-07 21:02,0.00039999999999995595,2.166650000,-0.000920000000000254,0,0,0,37,0,0,0,0,0,0,0,0,1
2014-01-07 22:00,1.0000000000065512e-05,2.167050000,0.000920000000000254,0,0,0,24,5,5,1,0,0,0,0,0,1
2014-01-07 23:01,-0.0009100000000001884,2.167060000,0.0,3,0,1,24,6,6,1,0,0,0,0,0,0
2014-01-08 00:00,1.0000000000065512e-05,2.166150000,-0.003090000000000259,0,0,0,5,2,2,0,0,0,0,0,0,1
2014-01-08 01:00,1.0000000000065512e-05,2.166160000,0.013940000000000285,1,0,0,4,0,0,0,0,0,1,0,0,1
